background/signal,pT GeV,mass GeV,width,ptD,#of constituents
1,32.584,-3.202,0.082,0.665,3
0,21.18,-3.513,0.145,0.708,2
0,20.175,-0.693,0.12,0.501,7
0,25.807,-4.254,0.091,0.849,2
0,21.07,-1.687,0.125,0.388,9
0,22.281,-1.145,0.088,0.619,6
0,26.727,0.27,0.065,0.637,6
1,28.126,3.742,0.067,0.852,2
0,21.742,2.196,0.12,0.409,8
1,33.885,-3.334,0.075,0.791,2
0,20.021,-0.164,0.14,0.569,6
1,38.917,-3.956,0.064,0.83,2
1,40.548,-3.283,0.053,0.848,2
0,20.658,1.539,0.101,0.425,7
1,135.632,-0.48,0.005,0.975,3
1,62.417,2.941,0.049,0.718,2
0,41.816,-4.185,0.037,0.923,2
0,21.569,1.4,0.112,0.472,6
0,22.857,-0.309,0.098,0.639,6
0,20.32,-1.926,0.134,0.303,12
0,24.512,4.443,0.097,0.826,2
1,82.956,2.798,0.025,0.761,3
1,299.001,0.512,0.001,0.996,2
1,30.164,-3.805,0.063,0.9,2
0,24.769,-2.901,0.075,0.832,3
0,22.3,-0.208,0.109,0.467,6
0,25.88,1.192,0.089,0.518,4
0,24.813,0.729,0.097,0.613,6
1,57.623,3.492,0.03,0.907,2
0,22.503,-0.725,0.124,0.673,4
1,21.049,-3.7,0.106,0.849,2
0,22.247,2.779,0.073,0.903,2
0,26.266,-1.79,0.092,0.411,9
0,20.007,0.658,0.118,0.38,8
0,24.032,0.988,0.113,0.452,6
0,20.116,0.44,0.12,0.516,5
1,27.62,-3.318,0.087,0.775,2
0,30.337,0.14,0.064,0.623,4
1,27.068,-3.624,0.07,0.855,2
0,20.969,0.142,0.107,0.733,3
1,77.75,2.67,0.009,0.985,2
1,56.403,-2.629,0.015,0.975,2
0,20.359,-1.338,0.132,0.732,6
1,62.854,3.876,0.025,0.916,2
1,35.925,-3.005,0.077,0.549,4
0,20.122,-0.682,0.127,0.602,5
1,35.844,3.263,0.054,0.856,3
0,28.082,1.146,0.075,0.668,4
1,37.544,-2.531,0.07,0.481,7
1,45.314,-4.294,0.022,0.962,2
0,22.39,-0.601,0.108,0.635,3
0,25.455,-2.288,0.095,0.377,12
1,22.227,-2.76,0.106,0.644,3
1,65.427,-0.614,0.019,0.771,5
1,58.327,3.102,0.042,0.762,3
1,32.491,-3.728,0.056,0.914,2
1,33.261,3.073,0.057,0.899,2
1,60.568,-3.023,0.022,0.813,3
0,22.039,0.327,0.134,0.576,4
0,21.317,2.867,0.107,0.682,3
1,20.244,2.523,0.118,0.612,5
0,22.397,4.42,0.121,0.725,2
0,21.456,-0.974,0.107,0.457,7
1,36.537,-2.788,0.036,0.95,2
0,20.137,-0.219,0.124,0.452,6
1,20.505,3.933,0.131,0.756,2
0,20.905,-0.659,0.121,0.486,5
0,23.517,-3.025,0.122,0.631,3
1,40.668,-4.03,0.068,0.711,2
1,23.352,-3.968,0.111,0.774,2
0,24.325,2.677,0.085,0.797,4
1,32.745,-3.008,0.085,0.691,3
0,21.656,3.549,0.126,0.707,2
0,32.65,0.151,0.052,0.744,4
1,48.07,3.422,0.023,0.959,2
