background/signal,pT GeV,y,mass GeV,width,ptD,#of constituents
 0,    26.701,     1.438,     6.945,     0.244,     0.293,   18
 1,    34.288,     3.505,     3.511,     0.097,     0.742,    2
 1,   358.719,     1.036,    22.988,     0.027,     0.932,    7
 1,   152.397,    -1.698,     9.821,     0.017,     0.951,    5
 0,    34.766,     2.625,     7.362,     0.206,     0.556,    8
 1,    35.419,    -3.383,     1.790,     0.037,     0.665,    3
 0,    61.526,     2.782,    12.603,     0.191,     0.480,    6
 0,    36.502,    -1.719,     7.401,     0.172,     0.287,   20
 0,    34.571,    -1.100,     7.265,     0.180,     0.431,   17
 0,    20.871,     1.056,     4.797,     0.217,     0.338,   17
 0,    31.954,     0.655,     6.607,     0.199,     0.340,   13
 0,    27.099,    -1.137,     5.605,     0.181,     0.300,   13
 0,    27.215,    -0.413,     5.860,     0.182,     0.295,   23
 0,    23.563,    -0.448,     5.433,     0.214,     0.306,   17
 1,    45.560,     3.977,     0.000,     0.000,     1.000,    1
 1,    22.696,    -3.027,     2.089,     0.090,     0.626,    3
 1,   487.996,    -1.506,    17.709,     0.013,     0.809,    8
 1,    79.413,     4.220,     0.000,     0.000,     1.000,    1
 0,    62.230,     1.074,     8.084,     0.093,     0.716,   13
 0,    34.008,     1.689,     5.862,     0.149,     0.466,   12
 0,    21.459,     0.300,     3.301,     0.135,     0.325,   13
 0,    28.051,    -3.608,     5.452,     0.164,     0.536,    5
 1,   460.899,     0.719,    21.194,     0.009,     0.972,   10
 1,   121.556,     2.852,     6.328,     0.019,     0.965,    2
 1,    79.947,    -2.741,     7.417,     0.048,     0.928,    3
 0,    29.711,    -0.832,     6.152,     0.174,     0.352,   16
 0,    35.211,    -3.154,     4.097,     0.098,     0.703,    4
 1,   773.952,     0.747,    16.782,     0.003,     0.995,    4
 0,    77.701,    -1.711,    10.776,     0.096,     0.426,   21
 0,    76.378,    -0.588,     7.041,     0.043,     0.616,    9
 0,    55.781,    -0.427,    10.536,     0.144,     0.397,   18
 0,    40.410,    -1.242,     8.998,     0.196,     0.262,   20
 0,    32.613,    -1.163,     8.315,     0.227,     0.327,   16
 0,    23.489,    -0.496,     5.281,     0.201,     0.326,   14
 1,    35.373,     3.418,     3.005,     0.049,     0.914,    2
 0,    24.690,    -3.069,     1.900,     0.058,     0.643,    5
 0,    22.613,    -2.918,     0.000,     0.000,     1.000,    1
 0,   189.929,     3.108,     2.275,     0.011,     0.760,    2
 0,   130.446,     1.609,    19.795,     0.109,     0.374,   27
 1,    79.915,    -3.251,     6.059,     0.063,     0.778,    3
 0,    43.097,    -0.481,     8.889,     0.184,     0.320,   24
 0,    32.872,    -0.412,     6.533,     0.165,     0.353,   18
 0,    31.171,    -1.296,     5.201,     0.122,     0.555,   12
 0,    22.867,    -1.693,     3.930,     0.131,     0.323,   14
 1,    44.720,     3.640,     2.977,     0.024,     0.966,    2
 1,   702.836,    -0.562,    32.441,     0.011,     0.964,   12
 1,   306.991,     0.557,    22.251,     0.023,     0.928,   10
 0,    77.353,     1.138,    15.858,     0.176,     0.380,   18
 0,    29.483,    -1.295,     6.577,     0.206,     0.373,   18
 0,    29.935,     0.452,     5.504,     0.163,     0.462,   12
 1,    38.661,     3.316,     6.051,     0.133,     0.533,    5
 0,    20.908,    -1.079,     5.095,     0.212,     0.330,   14
 1,   307.761,     0.674,    27.695,     0.037,     0.917,   14
 1,    63.451,    -2.036,     9.360,     0.087,     0.686,   18
 1,    87.632,     3.068,    15.744,     0.158,     0.418,    7
 0,    26.843,     0.460,     6.202,     0.211,     0.276,   19
 0,    26.607,    -0.966,     5.420,     0.187,     0.252,   22
 0,    25.018,     1.431,     5.363,     0.182,     0.339,   13
 0,    25.301,    -3.012,     4.423,     0.159,     0.587,    4
 1,   685.689,    -0.855,    23.443,     0.005,     0.985,    8
 1,   101.363,    -4.103,     0.000,     0.000,     1.000,    1
 0,    43.337,     1.043,     6.449,     0.133,     0.482,   14
 0,    37.819,     0.681,     7.714,     0.180,     0.400,   14
 1,    46.241,     3.200,     5.874,     0.096,     0.648,    5
 0,    20.828,    -4.293,     0.000,     0.000,     1.000,    1
 1,   848.483,    -0.007,    55.185,     0.022,     0.956,   18
 1,   715.148,     1.188,    30.838,     0.011,     0.959,   11
 0,    45.620,    -0.607,     8.917,     0.178,     0.338,   18
 1,    56.538,    -3.652,     0.000,     0.000,     1.000,    1
 0,    26.064,     1.160,     4.232,     0.148,     0.561,    8
 0,    26.696,     2.900,     5.274,     0.196,     0.620,    3
 1,   300.656,     1.926,    19.343,     0.019,     0.931,   11
 0,    29.197,    -0.488,     7.271,     0.230,     0.278,   18
 0,    27.075,     1.204,     5.539,     0.181,     0.402,   11
 0,    20.170,    -1.266,     4.080,     0.169,     0.499,    9
 1,   381.503,     0.590,    31.478,     0.025,     0.941,   13
 0,    34.084,    -1.091,     7.641,     0.190,     0.371,   21
 0,    26.420,     0.432,     6.071,     0.210,     0.326,   17
 1,    61.883,    -3.713,     0.000,     0.000,     1.000,    1
 0,    30.601,     1.973,     7.448,     0.215,     0.288,   19
 0,    30.828,     1.103,     5.968,     0.173,     0.496,   14
 0,    20.828,     1.038,     5.176,     0.236,     0.317,   16
 0,    21.035,     1.377,     4.423,     0.196,     0.299,   14
 0,    20.532,     4.218,     0.000,     0.000,     1.000,    1
 1,    46.874,     3.267,     3.393,     0.050,     0.874,    2
 0,    24.116,    -1.161,     5.341,     0.207,     0.341,   13
 0,    20.590,     1.368,     4.511,     0.204,     0.329,   13
 0,   424.812,    -0.305,    35.485,     0.028,     0.883,   17
 1,    69.008,     2.549,     9.670,     0.124,     0.510,   11
 1,    42.385,    -2.686,    10.054,     0.214,     0.411,   11
 0,    36.137,     0.343,     7.967,     0.197,     0.278,   21
 0,    29.423,     1.895,     5.833,     0.179,     0.307,   16
 0,    20.315,     1.963,     4.524,     0.200,     0.281,   23
 0,    23.998,     1.015,     4.817,     0.177,     0.267,   21
 0,    20.685,    -2.082,     4.584,     0.195,     0.227,   22
 0,    24.200,    -1.232,     4.816,     0.163,     0.349,   13
 0,    36.960,    -4.008,     8.000,     0.210,     0.626,    3
 0,    24.819,     3.562,     3.463,     0.128,     0.632,    3
 0,    24.768,     3.044,     5.142,     0.198,     0.618,    3
