background/signal,pT GeV,mass GeV,width,ptD,#of constituents
0,20.07,2.996,0.13,0.786,2
1,46.667,0.0,0.0,1.0,1
1,30.218,5.906,0.191,0.584,3
1,53.028,6.735,0.111,0.598,3
0,26.984,0.0,0.0,1.0,1
0,35.172,0.0,0.0,1.0,1
0,21.521,3.983,0.182,0.715,2
1,156.209,15.743,0.075,0.849,2
1,21.45,1.706,0.061,0.838,2
1,47.907,4.192,0.071,0.821,2
1,100.753,0.0,0.0,1.0,1
1,25.438,1.785,0.041,0.912,2
0,26.048,2.454,0.09,0.737,2
0,21.468,0.0,0.0,1.0,1
1,24.864,0.0,0.0,1.0,1
0,35.0,5.285,0.146,0.725,2
1,54.597,0.0,0.0,1.0,1
1,135.611,13.184,0.067,0.874,2
1,45.026,2.625,0.058,0.708,2
0,32.412,6.161,0.175,0.708,3
0,24.311,0.0,0.0,1.0,1
1,38.018,4.06,0.081,0.844,2
0,32.563,5.758,0.172,0.567,4
1,23.432,0.0,0.0,1.0,1
0,24.386,0.0,0.0,1.0,1
0,47.302,5.723,0.11,0.672,3
0,35.717,6.467,0.17,0.466,5
1,42.136,7.001,0.159,0.657,3
1,59.073,7.794,0.089,0.878,2
1,26.252,0.0,0.0,1.0,1
0,24.952,0.0,0.0,1.0,1
1,69.189,0.0,0.0,1.0,1
0,20.91,2.593,0.121,0.719,2
0,21.911,0.0,0.0,1.0,1
0,20.224,1.592,0.066,0.802,2
1,117.73,11.676,0.067,0.878,2
0,22.981,0.0,0.0,1.0,1
0,36.134,0.0,0.0,1.0,1
0,57.311,0.0,0.0,1.0,1
1,58.11,5.188,0.052,0.909,2
0,35.73,5.577,0.138,0.776,2
1,37.587,0.0,0.0,1.0,1
1,89.341,10.125,0.068,0.896,3
1,45.105,0.0,0.0,1.0,1
1,51.545,5.705,0.078,0.864,2
0,20.532,0.0,0.0,1.0,1
0,25.333,0.0,0.0,1.0,1
1,42.128,6.951,0.148,0.587,3
0,35.79,5.782,0.16,0.634,3
0,58.836,6.639,0.103,0.76,2
1,86.838,6.484,0.044,0.908,2
1,49.697,0.0,0.0,1.0,1
0,39.469,5.886,0.131,0.751,3
1,57.395,0.0,0.0,1.0,1
1,23.083,0.0,0.0,1.0,1
1,37.285,5.248,0.125,0.631,3
1,30.922,0.0,0.0,1.0,1
0,22.231,4.223,0.183,0.723,2
1,61.64,10.189,0.157,0.529,4
0,23.383,0.0,0.0,1.0,1
0,21.555,2.453,0.086,0.843,2
1,86.439,0.0,0.0,1.0,1
0,24.99,0.0,0.0,1.0,1
0,23.633,0.0,0.0,1.0,1
0,41.504,6.491,0.155,0.708,2
1,31.396,0.0,0.0,1.0,1
0,29.394,5.61,0.186,0.599,3
1,31.708,0.0,0.0,1.0,1
0,60.114,0.0,0.0,1.0,1
0,36.833,0.0,0.0,1.0,1
0,29.347,5.08,0.158,0.761,2
0,20.542,2.988,0.143,0.716,2
0,40.479,0.0,0.0,1.0,1
0,21.811,0.0,0.0,1.0,1
1,62.886,9.088,0.109,0.847,2
0,21.523,2.915,0.119,0.782,2
1,26.125,3.529,0.103,0.841,2
0,26.133,3.263,0.099,0.826,2
0,51.478,11.773,0.226,0.598,3
0,32.629,4.851,0.112,0.694,3
1,30.787,0.0,0.0,1.0,1
1,39.435,5.035,0.089,0.87,2
0,43.596,0.0,0.0,1.0,1
1,56.008,0.0,0.0,1.0,1
0,31.932,5.399,0.165,0.717,2
0,24.254,0.769,0.03,0.75,2
0,58.131,9.277,0.117,0.705,3
0,24.821,4.297,0.154,0.773,2
1,41.557,8.068,0.192,0.711,2
0,23.931,4.752,0.195,0.713,2
0,33.077,6.392,0.189,0.577,3
0,25.746,4.755,0.183,0.708,2
1,31.856,0.0,0.0,1.0,1
1,30.53,4.446,0.135,0.754,2
0,20.178,3.508,0.159,0.58,3
0,30.975,4.717,0.149,0.717,2
1,91.775,0.0,0.0,1.0,1
0,31.381,5.058,0.156,0.618,3
1,36.941,0.0,0.0,1.0,1
1,28.782,2.862,0.092,0.753,2
1,28.476,0.0,0.0,1.0,1
0,40.025,7.369,0.173,0.745,2
1,92.698,8.184,0.051,0.883,3
1,70.82,10.032,0.141,0.707,2
0,34.815,0.0,0.0,1.0,1
0,32.193,5.711,0.173,0.721,2
0,25.308,0.0,0.0,1.0,1
1,62.509,0.0,0.0,1.0,1
1,39.1,4.004,0.097,0.742,2
0,36.297,5.982,0.155,0.675,3
0,20.88,0.0,0.0,1.0,1
1,46.245,4.9,0.075,0.864,2
0,31.254,4.684,0.146,0.72,2
0,34.574,7.424,0.203,0.533,4
1,59.565,0.0,0.0,1.0,1
1,76.311,13.828,0.159,0.627,4
0,25.528,2.843,0.108,0.726,2
1,134.878,5.447,0.018,0.947,2
0,34.001,0.0,0.0,1.0,1
0,30.876,4.406,0.138,0.725,2
1,33.323,2.681,0.058,0.859,2
0,53.912,0.0,0.0,1.0,1
0,32.247,3.574,0.106,0.733,2
1,109.734,0.0,0.0,1.0,1
0,38.314,7.101,0.184,0.708,2
0,27.862,4.617,0.158,0.736,2
0,30.008,4.715,0.153,0.723,2
1,82.324,0.0,0.0,1.0,1
1,43.855,0.0,0.0,1.0,1
0,22.743,0.0,0.0,1.0,1
1,21.571,0.0,0.0,1.0,1
0,43.314,6.136,0.112,0.827,2
1,34.961,5.375,0.12,0.833,2
0,42.404,8.303,0.181,0.634,3
1,53.379,5.292,0.076,0.839,2
0,24.575,3.348,0.1,0.856,2
1,28.991,1.25,0.029,0.879,2
0,32.353,6.084,0.187,0.707,2
0,21.65,0.0,0.0,1.0,1
0,55.196,9.62,0.159,0.758,2
1,33.492,0.0,0.0,1.0,1
1,28.301,3.403,0.086,0.861,2
0,27.589,0.0,0.0,1.0,1
0,30.056,5.924,0.19,0.519,5
0,23.196,2.382,0.097,0.742,2
1,93.569,0.0,0.0,1.0,1
1,116.583,11.291,0.061,0.835,3
1,38.46,5.703,0.14,0.739,2
1,28.691,0.0,0.0,1.0,1
0,29.49,3.175,0.102,0.742,2
1,40.21,5.657,0.14,0.707,2
0,22.854,0.0,0.0,1.0,1
0,27.186,3.016,0.077,0.869,2
1,86.014,9.799,0.068,0.905,2
0,27.085,5.36,0.195,0.708,2
0,29.442,4.326,0.11,0.849,2
1,38.766,0.0,0.0,1.0,1
0,45.325,7.285,0.157,0.536,4
0,23.92,1.511,0.061,0.727,2
0,30.784,4.582,0.134,0.768,2
1,46.578,0.0,0.0,1.0,1
0,25.177,0.0,0.0,1.0,1
0,22.722,4.167,0.179,0.716,2
1,34.647,3.917,0.083,0.853,2
1,24.833,0.0,0.0,1.0,1
0,24.128,3.927,0.139,0.612,3
1,23.95,0.0,0.0,1.0,1
1,69.003,9.927,0.118,0.637,3
1,26.056,0.0,0.0,1.0,1
0,21.339,3.574,0.156,0.748,2
0,20.429,0.0,0.0,1.0,1
1,44.019,0.0,0.0,1.0,1
1,45.024,3.467,0.072,0.748,2
0,28.856,0.0,0.0,1.0,1
1,130.084,0.0,0.0,1.0,1
1,64.997,11.146,0.156,0.76,2
1,66.873,6.004,0.058,0.678,3
1,55.726,0.0,0.0,1.0,1
1,56.59,4.992,0.044,0.934,2
0,32.082,0.0,0.0,1.0,1
1,56.625,0.0,0.0,1.0,1
1,33.474,0.933,0.028,0.714,2
1,59.129,8.783,0.12,0.821,2
1,68.922,4.561,0.033,0.934,2
1,49.163,0.0,0.0,1.0,1
0,20.104,2.309,0.091,0.827,2
1,54.843,8.353,0.126,0.807,2
0,43.533,9.794,0.202,0.615,3
1,37.684,0.0,0.0,1.0,1
1,75.8,9.677,0.097,0.607,5
1,34.953,3.88,0.105,0.745,2
1,78.591,0.0,0.0,1.0,1
1,82.791,0.0,0.0,1.0,1
1,32.123,0.0,0.0,1.0,1
1,23.214,0.0,0.0,1.0,1
0,28.748,0.0,0.0,1.0,1
1,23.79,0.0,0.0,1.0,1
1,49.666,6.542,0.087,0.885,2
1,24.182,0.0,0.0,1.0,1
0,23.496,0.0,0.0,1.0,1
0,20.898,0.0,0.0,1.0,1
0,20.878,2.461,0.111,0.742,2
1,50.791,0.0,0.0,1.0,1
0,27.859,2.724,0.082,0.803,2
0,37.286,6.069,0.159,0.72,2
1,55.268,8.398,0.149,0.715,2
0,29.301,0.0,0.0,1.0,1
1,34.163,0.0,0.0,1.0,1
1,57.868,4.45,0.051,0.882,2
1,61.938,0.0,0.0,1.0,1
0,29.009,0.0,0.0,1.0,1
0,36.08,3.994,0.085,0.688,3
1,63.798,7.46,0.102,0.586,3
0,25.376,0.0,0.0,1.0,1
0,31.761,0.0,0.0,1.0,1
0,24.775,0.0,0.0,1.0,1
1,38.764,5.153,0.122,0.76,2
0,31.349,6.22,0.175,0.594,3
0,59.821,9.238,0.153,0.71,2
0,20.764,4.36,0.204,0.605,3
1,69.787,9.547,0.092,0.804,3
1,20.485,0.0,0.0,1.0,1
0,34.484,0.0,0.0,1.0,1
1,120.794,7.651,0.03,0.944,2
0,32.281,2.991,0.091,0.719,2
0,21.159,4.214,0.184,0.585,3
0,21.529,0.0,0.0,1.0,1
0,39.325,5.618,0.138,0.65,3
1,38.14,0.0,0.0,1.0,1
1,58.263,3.923,0.04,0.909,2
1,113.577,0.0,0.0,1.0,1
1,69.255,8.169,0.114,0.598,3
0,21.87,0.0,0.0,1.0,1
1,26.439,0.0,0.0,1.0,1
0,22.731,0.0,0.0,1.0,1
1,53.419,0.0,0.0,1.0,1
1,40.291,3.013,0.059,0.831,2
1,90.401,0.0,0.0,1.0,1
0,29.478,4.894,0.164,0.579,3
0,21.799,2.617,0.091,0.846,2
0,21.638,0.0,0.0,1.0,1
1,53.817,6.014,0.097,0.692,3
0,28.829,4.328,0.144,0.734,2
0,48.431,0.0,0.0,1.0,1
1,78.766,12.186,0.15,0.723,2
0,22.515,2.834,0.12,0.734,2
0,36.159,0.0,0.0,1.0,1
1,48.162,0.0,0.0,1.0,1
0,21.835,0.0,0.0,1.0,1
1,46.243,0.0,0.0,1.0,1
0,29.971,6.65,0.214,0.508,4
1,55.69,5.239,0.053,0.918,2
0,28.544,3.843,0.124,0.602,3
0,33.921,0.0,0.0,1.0,1
0,21.462,0.0,0.0,1.0,1
1,74.532,0.0,0.0,1.0,1
1,39.766,0.0,0.0,1.0,1
0,23.302,0.0,0.0,1.0,1
0,39.241,0.0,0.0,1.0,1
1,95.559,14.585,0.143,0.683,3
0,40.156,5.195,0.096,0.85,2
0,23.282,3.841,0.155,0.745,2
1,56.905,7.061,0.082,0.74,4
0,20.177,0.0,0.0,1.0,1
1,77.176,10.607,0.106,0.836,2
1,64.556,0.0,0.0,1.0,1
0,29.62,5.747,0.167,0.578,3
0,35.295,4.949,0.11,0.83,2
0,24.12,3.083,0.127,0.709,2
0,24.963,0.0,0.0,1.0,1
1,66.387,0.0,0.0,1.0,1
0,55.528,8.774,0.135,0.793,2
0,26.397,3.354,0.122,0.729,2
1,125.743,13.107,0.051,0.806,3
1,67.46,0.0,0.0,1.0,1
0,22.302,4.854,0.199,0.579,3
1,62.459,0.0,0.0,1.0,1
0,20.392,1.975,0.092,0.739,2
0,25.598,3.823,0.132,0.775,2
0,24.517,0.0,0.0,1.0,1
1,97.471,0.0,0.0,1.0,1
0,27.682,0.0,0.0,1.0,1
1,38.406,0.0,0.0,1.0,1
1,76.977,11.537,0.097,0.75,3
1,76.371,9.322,0.081,0.75,4
1,53.003,0.0,0.0,1.0,1
1,61.578,7.562,0.099,0.818,2
0,32.389,0.0,0.0,1.0,1
0,49.126,7.223,0.14,0.733,2
1,37.889,4.465,0.096,0.817,2
0,22.787,2.315,0.077,0.846,2
0,27.002,4.11,0.139,0.761,2
1,108.971,5.43,0.027,0.922,2
0,29.44,0.0,0.0,1.0,1
1,47.729,0.0,0.0,1.0,1
1,38.513,0.0,0.0,1.0,1
0,41.966,6.254,0.123,0.811,2
0,30.806,0.0,0.0,1.0,1
1,42.445,4.293,0.07,0.873,2
0,20.973,0.0,0.0,1.0,1
1,55.46,0.0,0.0,1.0,1
0,33.918,4.791,0.103,0.856,2
0,25.652,4.016,0.131,0.804,2
1,50.388,7.159,0.111,0.834,2
0,35.722,5.78,0.139,0.653,3
0,25.218,0.0,0.0,1.0,1
1,42.768,7.341,0.17,0.708,2
1,59.724,5.822,0.047,0.84,3
0,36.061,6.227,0.168,0.58,3
0,24.321,1.737,0.054,0.847,2
0,28.643,4.111,0.14,0.719,2
1,83.787,0.0,0.0,1.0,1
1,34.703,0.0,0.0,1.0,1
1,58.68,0.0,0.0,1.0,1
0,25.885,2.189,0.084,0.707,2
0,21.241,0.0,0.0,1.0,1
0,22.314,3.865,0.156,0.707,3
0,58.82,8.796,0.128,0.647,3
0,24.195,3.582,0.125,0.69,3
1,112.632,9.32,0.05,0.888,3
0,23.659,0.0,0.0,1.0,1
1,33.842,0.0,0.0,1.0,1
0,35.381,6.283,0.171,0.605,3
1,94.689,6.636,0.067,0.736,2
1,22.111,0.0,0.0,1.0,1
0,24.293,0.0,0.0,1.0,1
0,23.676,2.811,0.118,0.59,3
1,54.853,0.0,0.0,1.0,1
1,61.842,4.606,0.031,0.954,2
0,20.629,0.0,0.0,1.0,1
0,28.771,5.65,0.186,0.641,3
1,42.737,4.177,0.068,0.868,2
0,26.172,3.298,0.097,0.837,2
0,25.093,1.476,0.035,0.905,2
0,24.041,0.0,0.0,1.0,1
1,161.052,13.307,0.068,0.77,3
1,52.519,6.868,0.095,0.807,3
0,22.913,0.0,0.0,1.0,1
1,34.764,0.0,0.0,1.0,1
0,35.163,5.353,0.15,0.712,2
0,22.512,0.0,0.0,1.0,1
0,55.712,11.102,0.177,0.497,5
0,40.484,0.0,0.0,1.0,1
1,63.282,6.887,0.071,0.645,3
0,40.437,0.0,0.0,1.0,1
1,60.509,6.995,0.071,0.898,2
1,33.861,0.0,0.0,1.0,1
1,37.147,5.006,0.117,0.686,3
0,41.451,7.669,0.159,0.758,3
1,115.757,9.579,0.049,0.842,4
0,29.177,4.254,0.106,0.855,2
1,38.902,0.0,0.0,1.0,1
1,75.171,8.791,0.091,0.835,2
1,35.626,0.0,0.0,1.0,1
0,32.461,3.833,0.111,0.747,2
0,23.345,0.0,0.0,1.0,1
0,38.896,0.0,0.0,1.0,1
1,35.616,4.9,0.114,0.809,2
1,90.173,0.0,0.0,1.0,1
1,39.534,0.0,0.0,1.0,1
1,22.213,1.149,0.048,0.755,2
0,59.827,10.062,0.149,0.718,3
0,22.022,0.0,0.0,1.0,1
0,39.832,0.0,0.0,1.0,1
1,43.466,0.0,0.0,1.0,1
0,23.823,4.236,0.171,0.728,2
0,34.992,0.0,0.0,1.0,1
1,41.172,7.004,0.164,0.726,2
1,82.346,7.073,0.061,0.813,3
0,26.931,0.0,0.0,1.0,1
1,27.771,0.0,0.0,1.0,1
1,53.428,10.964,0.19,0.575,5
1,79.364,8.862,0.081,0.857,2
0,38.924,3.404,0.064,0.854,2
1,50.666,0.0,0.0,1.0,1
0,34.809,5.497,0.153,0.728,2
1,44.523,3.872,0.073,0.805,2
0,34.728,7.087,0.188,0.591,3
1,49.706,4.448,0.045,0.935,2
0,30.331,0.0,0.0,1.0,1
1,34.218,3.68,0.097,0.675,3
1,73.503,8.27,0.092,0.729,3
0,47.913,8.516,0.173,0.72,2
0,30.581,4.401,0.143,0.709,2
0,20.789,0.0,0.0,1.0,1
1,29.53,0.0,0.0,1.0,1
0,23.23,0.0,0.0,1.0,1
0,38.324,0.0,0.0,1.0,1
0,32.914,4.342,0.125,0.739,2
1,50.17,0.0,0.0,1.0,1
0,27.742,4.03,0.143,0.715,2
0,25.478,2.282,0.076,0.799,2
0,37.593,0.0,0.0,1.0,1
0,28.461,4.556,0.152,0.641,3
0,24.033,2.942,0.097,0.826,2
1,71.755,0.0,0.0,1.0,1
1,118.243,0.0,0.0,1.0,1
0,20.202,0.0,0.0,1.0,1
0,37.885,0.0,0.0,1.0,1
0,42.989,8.175,0.182,0.543,4
