background/signal,pT GeV,y,mass GeV,width,ptD,#of constituents
 1,   387.844,     0.588,    30.813,     0.023,     0.945,   11
 1,    61.883,    -3.713,     0.000,     0.000,     1.000,    1
 0,    34.659,    -1.072,     7.038,     0.171,     0.425,   16
 0,    30.169,     1.973,     7.343,     0.215,     0.288,   19
 0,    32.039,     1.120,     5.804,     0.160,     0.571,    9
 0,    20.824,     1.031,     5.241,     0.240,     0.350,   14
 0,    37.527,     4.287,     7.190,     0.189,     0.714,    2
 0,    20.532,     4.218,     0.000,     0.000,     1.000,    1
 1,    46.989,     3.267,     3.402,     0.050,     0.874,    2
 0,    20.071,    -1.143,     4.070,     0.189,     0.418,    8
 0,   431.303,    -0.300,    28.778,     0.025,     0.904,   12
 1,    69.996,     2.549,     9.808,     0.124,     0.510,   11
 0,    34.606,     0.382,     6.391,     0.166,     0.335,   13
 0,    25.494,    -1.245,     5.205,     0.166,     0.345,   14
 1,    29.212,    -2.753,     5.554,     0.179,     0.609,    4
 0,    26.859,     3.044,     5.576,     0.198,     0.618,    3
 0,    23.994,     4.262,     2.734,     0.089,     0.831,    2
 0,    23.797,     3.561,     4.123,     0.171,     0.710,    2
 0,    23.345,     4.036,     0.000,     0.000,     1.000,    1
 0,    23.124,    -3.229,     2.862,     0.122,     0.715,    2
 0,    22.034,    -3.663,     3.040,     0.125,     0.764,    2
 1,   425.824,     0.286,    12.037,     0.006,     0.973,    6
 1,   414.753,    -0.403,    33.289,     0.029,     0.937,    6
 1,    74.030,    -3.549,     0.000,     0.000,     1.000,    1
 0,    58.820,     3.719,     8.796,     0.128,     0.647,    3
 0,    34.328,    -1.206,     7.635,     0.192,     0.277,   18
 0,    41.343,     2.846,     2.644,     0.056,     0.786,    2
 0,    32.725,     0.805,     6.716,     0.172,     0.396,   11
 0,    36.852,     4.288,     5.703,     0.151,     0.723,    2
 0,    22.972,     1.158,     5.644,     0.232,     0.366,   12
 0,    22.690,    -4.056,     0.000,     0.000,     1.000,    1
 0,    49.233,    -2.689,     9.148,     0.171,     0.554,    6
 1,    54.652,    -1.446,     5.790,     0.050,     0.583,    7
 0,    38.105,    -1.733,     8.443,     0.202,     0.285,   20
 1,    54.199,    -4.492,     0.000,     0.000,     1.000,    1
 0,    35.527,     0.479,     6.503,     0.156,     0.496,   11
 0,   456.461,     0.910,    19.893,     0.012,     0.968,    7
 0,    31.845,    -0.733,     6.538,     0.188,     0.333,   12
 1,    28.524,    -3.652,     0.000,     0.000,     1.000,    1
 1,    26.499,     3.688,     2.428,     0.084,     0.758,    2
 1,   145.672,     3.145,    28.331,     0.142,     0.535,    9
 0,    48.739,     2.551,     9.326,     0.154,     0.377,   15
 0,    39.856,     0.691,     6.662,     0.117,     0.552,   11
 0,    45.472,     1.127,     9.112,     0.183,     0.419,   12
 0,    37.932,    -0.622,     7.563,     0.176,     0.312,   14
 0,    30.143,    -2.506,     7.456,     0.236,     0.375,   16
 0,    31.215,     0.888,     7.332,     0.215,     0.356,   10
 0,    20.497,    -1.617,     4.502,     0.195,     0.270,   17
 0,    20.872,     4.239,     1.459,     0.068,     0.728,    2
 1,   513.383,    -1.007,    20.207,     0.010,     0.960,    8
 1,   246.516,     0.604,    23.028,     0.040,     0.883,    8
 1,    82.964,     3.025,     7.680,     0.059,     0.731,    3
 0,    32.722,    -0.158,     5.917,     0.152,     0.465,    9
 0,    28.445,     0.638,     6.382,     0.209,     0.403,   12
 1,    31.316,    -3.080,     0.054,     0.001,     0.800,    2
