background/signal,pT GeV,mass GeV,width,ptD,#of constituents
0,21.773,0.539,0.024,0.717,2
0,29.446,4.002,0.128,0.632,3
1,59.29,4.999,0.065,0.579,4
0,32.267,5.555,0.149,0.787,2
0,21.95,2.879,0.114,0.786,2
0,40.116,4.058,0.101,0.606,3
1,30.163,5.44,0.178,0.708,2
0,30.743,3.875,0.126,0.707,2
0,45.297,8.657,0.175,0.397,7
0,32.481,6.869,0.203,0.641,3
0,26.492,4.053,0.147,0.516,4
0,24.397,0.0,0.0,1.0,1
0,30.372,5.297,0.141,0.579,4
1,222.219,5.549,0.007,0.977,2
0,38.825,7.192,0.149,0.513,4
1,41.495,5.65,0.108,0.579,4
0,24.833,3.037,0.122,0.708,2
0,34.386,0.0,0.0,1.0,1
1,110.821,9.119,0.052,0.69,3
0,37.662,6.983,0.175,0.432,6
0,28.652,4.682,0.159,0.651,3
1,123.549,15.889,0.1,0.833,2
1,139.546,12.622,0.077,0.568,4
1,76.631,9.439,0.101,0.815,2
1,87.653,13.223,0.118,0.61,3
0,24.417,4.085,0.139,0.804,2
0,47.694,8.15,0.154,0.504,4
1,47.529,0.0,0.0,1.0,1
1,101.697,11.46,0.11,0.647,3
0,35.045,5.841,0.141,0.591,4
1,137.264,15.365,0.068,0.661,7
0,30.224,3.463,0.113,0.718,2
0,76.115,15.76,0.19,0.44,6
1,23.177,0.0,0.0,1.0,1
0,27.56,3.664,0.127,0.66,3
0,31.231,0.0,0.0,1.0,1
0,22.163,3.502,0.142,0.594,3
1,91.073,11.175,0.106,0.547,5
0,22.358,2.909,0.112,0.791,2
1,59.524,6.885,0.078,0.661,4
0,48.088,7.852,0.146,0.769,2
0,26.215,4.765,0.173,0.513,4
1,58.455,8.22,0.103,0.645,3
1,23.499,0.0,0.0,1.0,1
0,25.137,4.16,0.15,0.649,3
1,81.35,4.868,0.055,0.604,3
0,21.573,0.998,0.046,0.714,2
1,39.342,0.0,0.0,1.0,1
1,96.814,10.823,0.078,0.707,3
0,34.359,5.519,0.156,0.722,2
1,60.692,0.956,0.013,0.822,2
1,84.051,6.642,0.061,0.598,4
0,31.156,4.779,0.132,0.721,3
0,65.041,9.47,0.13,0.516,5
0,30.356,3.313,0.109,0.707,2
1,49.154,0.0,0.0,1.0,1
1,58.14,1.903,0.032,0.715,2
1,27.823,0.0,0.0,1.0,1
1,76.104,4.669,0.043,0.87,2
1,50.231,7.834,0.146,0.545,4
0,51.043,10.395,0.185,0.583,3
0,28.596,0.0,0.0,1.0,1
1,74.534,11.504,0.103,0.622,4
1,98.09,7.071,0.048,0.708,3
0,32.119,6.394,0.194,0.717,2
1,222.376,19.182,0.068,0.579,4
0,32.822,3.101,0.07,0.618,3
1,63.998,6.827,0.085,0.621,4
1,230.803,15.795,0.036,0.673,3
1,130.756,11.109,0.047,0.749,4
1,79.007,0.0,0.0,1.0,1
0,34.222,3.628,0.097,0.676,3
0,41.091,5.844,0.124,0.537,4
1,138.188,0.0,0.0,1.0,1
0,27.573,4.473,0.142,0.607,3
0,55.365,3.423,0.047,0.673,3
1,61.76,6.89,0.1,0.534,4
0,54.083,10.05,0.162,0.551,4
0,27.32,5.312,0.19,0.609,3
0,56.874,9.511,0.157,0.606,4
1,71.725,3.234,0.025,0.673,4
0,23.638,0.0,0.0,1.0,1
