background/signal,pT GeV,mass GeV,width,ptD,#of constituents
0,35.622,7.15,0.172,0.26,20
1,69.542,12.965,0.169,0.276,27
1,87.38,16.004,0.143,0.405,27
1,124.514,12.602,0.057,0.701,12
1,228.718,40.9,0.148,0.42,28
1,84.871,10.981,0.076,0.471,15
0,99.055,9.549,0.055,0.81,6
0,40.018,10.295,0.237,0.386,13
1,770.415,33.418,0.01,0.961,11
1,162.934,21.329,0.067,0.718,14
0,26.63,3.345,0.074,0.687,9
0,146.639,24.106,0.138,0.299,25
1,194.191,16.322,0.055,0.589,11
0,23.882,4.677,0.175,0.276,19
0,28.842,5.885,0.184,0.346,9
1,104.74,9.73,0.062,0.449,15
1,27.407,4.417,0.136,0.354,12
0,23.716,4.867,0.176,0.36,12
0,21.594,4.126,0.154,0.397,12
1,38.79,7.841,0.174,0.32,19
0,22.869,5.435,0.213,0.249,26
1,45.585,7.383,0.125,0.319,20
1,83.845,11.007,0.096,0.423,17
1,92.657,10.885,0.093,0.682,8
1,148.75,11.734,0.042,0.699,13
1,626.494,47.823,0.028,0.929,11
0,33.556,7.388,0.198,0.245,23
1,36.488,4.223,0.088,0.484,10
1,22.254,4.322,0.174,0.347,16
0,21.858,3.916,0.152,0.403,9
0,27.635,6.331,0.208,0.27,20
0,84.121,15.522,0.154,0.297,25
0,20.381,5.214,0.232,0.287,16
0,113.662,7.309,0.031,0.832,6
0,22.286,4.105,0.157,0.387,14
1,234.613,7.708,0.009,0.975,4
0,24.194,4.976,0.186,0.28,17
1,127.551,16.954,0.066,0.728,17
1,824.787,35.845,0.008,0.984,9
0,30.169,7.343,0.215,0.288,19
0,36.233,8.274,0.213,0.277,20
0,26.885,6.51,0.222,0.249,20
1,47.19,7.051,0.095,0.566,10
1,189.393,28.011,0.121,0.399,20
0,23.707,5.724,0.223,0.321,17
1,472.507,31.501,0.02,0.937,12
1,122.884,9.405,0.036,0.898,9
1,319.74,16.224,0.016,0.716,9
0,25.49,6.004,0.219,0.311,18
0,31.981,4.958,0.127,0.567,11
1,25.094,5.336,0.191,0.319,15
0,27.743,7.179,0.244,0.268,19
0,23.012,4.808,0.187,0.278,17
0,136.537,12.202,0.051,0.695,7
0,20.293,5.384,0.249,0.281,16
1,337.005,6.766,0.003,0.987,6
1,342.916,30.964,0.064,0.458,16
1,103.318,8.664,0.041,0.904,7
1,166.033,23.063,0.091,0.585,15
0,20.525,2.983,0.109,0.546,10
0,27.222,7.294,0.246,0.252,24
1,44.712,7.935,0.151,0.306,15
0,253.079,22.141,0.035,0.915,12
1,511.547,12.248,0.003,0.987,4
0,30.777,6.042,0.164,0.294,23
1,75.487,11.506,0.127,0.408,11
0,26.881,3.845,0.131,0.403,14
1,68.899,7.125,0.082,0.382,10
1,97.162,16.232,0.148,0.385,18
0,33.899,2.471,0.052,0.825,5
1,241.192,16.438,0.045,0.619,11
0,26.088,6.887,0.244,0.259,20
0,23.513,5.649,0.221,0.249,21
1,27.373,3.503,0.087,0.38,11
0,21.1,4.857,0.214,0.27,20
0,46.632,8.459,0.158,0.357,16
1,217.242,8.171,0.006,0.967,4
1,300.584,17.267,0.019,0.933,12
1,384.832,13.343,0.007,0.957,7
1,89.452,6.974,0.031,0.716,5
1,388.953,13.539,0.006,0.989,6
1,194.147,23.911,0.092,0.401,24
0,26.918,5.762,0.173,0.367,14
1,138.872,17.761,0.089,0.546,16
0,29.754,5.553,0.165,0.409,12
1,103.193,15.483,0.13,0.313,25
0,34.856,8.994,0.241,0.303,26
1,155.211,12.573,0.037,0.858,13
0,21.64,4.958,0.206,0.327,12
0,24.62,5.176,0.161,0.392,17
1,145.542,16.658,0.059,0.778,21
0,24.492,4.441,0.153,0.531,10
1,60.587,7.899,0.091,0.433,15
1,343.406,30.032,0.03,0.826,12
1,86.848,11.455,0.097,0.467,15
