background/signal,pT GeV,mass GeV,width,ptD,#of constituents
1,82.826,6.749,0.039,0.677,5
1,84.131,11.575,0.114,0.554,7
1,216.797,29.278,0.092,0.666,7
1,41.429,3.261,0.078,0.712,2
0,25.779,3.105,0.111,0.5,5
0,23.832,3.027,0.122,0.683,3
0,36.712,4.753,0.093,0.83,3
0,21.32,3.39,0.157,0.614,4
1,38.169,0.0,0.0,1.0,1
0,40.395,6.892,0.128,0.76,4
0,26.84,4.537,0.165,0.663,3
1,78.577,0.788,0.008,0.807,2
1,146.44,12.957,0.055,0.688,3
1,23.54,2.381,0.062,0.899,2
0,22.87,3.367,0.145,0.71,2
0,23.378,3.884,0.139,0.594,4
0,24.298,2.288,0.082,0.787,2
1,79.007,0.0,0.0,1.0,1
0,22.592,0.0,0.0,1.0,1
1,91.576,9.79,0.073,0.662,6
0,23.995,4.712,0.184,0.511,5
0,23.061,0.0,0.0,1.0,1
1,36.379,2.006,0.049,0.779,2
0,23.473,0.68,0.019,0.889,2
1,74.75,15.164,0.192,0.517,8
1,31.68,7.082,0.214,0.471,7
0,36.522,2.465,0.064,0.551,4
0,24.085,2.1,0.076,0.647,4
1,226.748,24.439,0.064,0.842,6
1,82.079,2.204,0.016,0.91,2
1,142.945,11.206,0.053,0.638,4
0,37.662,5.276,0.105,0.606,5
0,28.527,4.564,0.127,0.578,5
1,100.409,0.0,0.0,1.0,1
0,30.957,5.969,0.183,0.516,6
1,70.58,7.577,0.073,0.863,3
1,23.705,1.925,0.044,0.846,3
0,29.477,5.897,0.183,0.647,4
1,65.746,7.478,0.087,0.588,6
1,126.336,10.209,0.059,0.758,4
0,53.018,8.138,0.119,0.512,5
1,88.068,10.628,0.084,0.868,2
0,36.803,2.757,0.058,0.641,4
1,201.328,39.588,0.15,0.463,10
1,156.979,24.509,0.13,0.583,5
1,65.441,11.338,0.15,0.503,8
0,20.736,1.91,0.087,0.699,3
1,32.745,2.939,0.085,0.691,3
1,41.378,4.811,0.086,0.823,3
1,89.399,0.922,0.001,0.999,2
0,39.351,4.758,0.114,0.72,3
1,27.191,1.002,0.036,0.729,2
0,22.307,3.431,0.131,0.798,2
0,33.097,7.014,0.202,0.422,9
1,36.434,0.42,0.011,0.71,2
0,35.639,4.901,0.12,0.65,5
1,159.719,13.158,0.034,0.955,3
0,39.004,8.198,0.161,0.545,12
1,86.272,12.139,0.11,0.461,7
1,176.507,10.609,0.026,0.952,2
1,40.859,3.934,0.086,0.636,3
1,36.018,2.735,0.048,0.864,3
0,29.533,5.916,0.176,0.46,7
1,88.065,14.154,0.123,0.454,7
0,25.361,2.342,0.077,0.689,3
1,20.57,0.0,0.0,1.0,1
1,93.292,6.784,0.043,0.89,7
0,61.381,8.769,0.136,0.669,3
1,116.544,12.148,0.063,0.886,10
0,29.333,4.43,0.122,0.719,7
0,24.868,2.853,0.11,0.651,3
0,21.081,3.211,0.148,0.484,5
0,32.035,6.915,0.186,0.518,7
1,156.408,23.954,0.141,0.516,5
0,28.231,4.446,0.153,0.725,2
1,39.342,0.0,0.0,1.0,1
1,105.857,15.499,0.081,0.735,11
0,21.295,0.76,0.031,0.788,2
1,34.824,4.731,0.103,0.561,6
0,24.143,2.728,0.111,0.583,3
0,39.783,6.787,0.15,0.515,9
1,50.616,8.312,0.129,0.649,4
0,69.362,6.815,0.063,0.665,5
1,84.748,0.0,0.0,1.0,1
0,32.14,5.791,0.164,0.521,5
0,32.242,2.902,0.071,0.693,3
0,28.636,2.421,0.076,0.682,3
1,79.943,5.885,0.037,0.803,4
1,59.686,7.24,0.101,0.781,3
1,41.816,5.558,0.074,0.552,9
0,22.689,4.222,0.158,0.443,8
0,26.501,4.351,0.16,0.644,3
1,44.154,4.229,0.074,0.836,2
1,30.38,4.928,0.154,0.738,2
1,100.989,11.358,0.067,0.631,5
0,22.515,1.708,0.071,0.68,3
0,31.578,6.812,0.194,0.455,7
1,36.058,3.684,0.094,0.537,5
0,32.373,4.976,0.134,0.656,5
1,28.884,4.94,0.149,0.478,10
0,29.79,4.503,0.139,0.602,3
1,53.457,2.076,0.022,0.915,2
0,27.104,3.556,0.102,0.629,3
0,27.074,6.206,0.212,0.462,12
0,20.531,2.329,0.092,0.818,2
1,71.242,4.808,0.056,0.743,3
1,36.17,4.946,0.115,0.526,5
1,57.563,8.237,0.118,0.809,2
0,25.977,3.631,0.121,0.786,2
0,24.477,3.34,0.111,0.658,4
1,89.395,5.62,0.044,0.703,3
1,474.807,20.963,0.01,0.984,4
1,53.916,3.86,0.056,0.6,4
0,43.507,8.387,0.171,0.526,5
1,60.417,6.896,0.076,0.763,5
1,60.842,7.269,0.092,0.638,4
1,76.3,13.368,0.152,0.529,9
0,40.553,8.669,0.209,0.6,3
0,50.878,9.904,0.187,0.643,3
0,26.401,5.144,0.192,0.643,3
1,140.84,15.217,0.067,0.578,9
0,116.508,11.593,0.055,0.747,7
0,20.039,3.739,0.174,0.708,3
0,35.459,0.0,0.0,1.0,1
1,86.949,9.591,0.083,0.722,4
1,111.718,0.861,0.007,0.767,2
1,41.767,3.095,0.037,0.796,3
1,45.271,8.143,0.154,0.712,4
0,21.216,3.811,0.168,0.606,3
0,21.422,3.007,0.125,0.694,3
0,24.223,1.007,0.041,0.712,2
1,189.111,20.054,0.068,0.754,4
0,24.534,4.709,0.172,0.442,9
1,35.307,0.0,0.0,1.0,1
1,58.951,3.147,0.053,0.715,2
0,20.519,2.747,0.11,0.812,2
1,45.954,0.0,0.0,1.0,1
0,52.0,10.593,0.186,0.458,7
0,22.723,3.491,0.124,0.49,6
0,32.14,3.94,0.097,0.584,8
1,60.568,2.777,0.022,0.813,3
0,21.44,1.614,0.069,0.752,3
1,32.355,3.316,0.049,0.908,3
0,41.335,5.428,0.112,0.577,5
1,24.736,3.135,0.113,0.534,4
1,63.895,9.625,0.116,0.532,5
1,59.184,10.638,0.145,0.528,10
0,20.51,0.877,0.042,0.715,2
0,44.892,3.786,0.049,0.893,4
0,21.809,4.957,0.191,0.505,10
0,21.478,0.942,0.039,0.78,2
0,64.167,9.415,0.129,0.522,5
1,110.015,5.21,0.044,0.75,2
1,166.779,8.79,0.033,0.766,5
1,190.922,14.419,0.043,0.839,4
