background/signal,pT GeV,mass GeV,width,ptD,#of constituents
1,633.792,41.735,0.016,0.952,10
0,44.622,10.862,0.208,0.282,19
0,27.945,7.257,0.239,0.312,16
0,32.85,7.318,0.196,0.308,14
1,276.216,24.195,0.028,0.937,6
0,23.37,4.793,0.177,0.368,10
1,57.206,12.518,0.206,0.312,17
1,39.11,7.592,0.155,0.361,15
1,94.194,10.549,0.082,0.465,11
0,28.336,5.427,0.181,0.37,10
0,20.957,3.545,0.136,0.465,7
0,32.46,7.688,0.224,0.324,14
1,549.808,27.939,0.016,0.95,14
1,137.325,8.263,0.038,0.585,12
0,33.045,7.361,0.208,0.284,17
1,21.085,3.773,0.17,0.417,9
1,155.349,14.211,0.047,0.876,10
1,144.558,19.085,0.096,0.492,14
0,20.818,4.244,0.196,0.382,9
0,21.882,4.312,0.177,0.374,10
0,27.356,5.727,0.181,0.314,16
0,25.334,4.878,0.17,0.353,12
1,25.867,6.238,0.227,0.404,12
0,30.219,7.683,0.236,0.309,14
0,25.222,3.186,0.089,0.547,9
0,38.341,8.321,0.197,0.28,17
0,27.363,6.918,0.237,0.301,16
1,40.949,7.684,0.147,0.363,13
0,54.781,13.279,0.224,0.215,25
1,105.314,9.018,0.057,0.555,10
0,29.082,7.581,0.243,0.323,14
0,47.174,14.6,0.293,0.256,23
0,31.908,6.953,0.206,0.272,16
0,42.793,8.601,0.182,0.328,16
1,360.392,8.755,0.005,0.969,5
0,195.2,14.039,0.048,0.543,10
0,21.41,4.462,0.189,0.377,10
1,23.799,3.602,0.119,0.377,10
1,55.949,13.064,0.207,0.234,24
1,240.822,15.929,0.019,0.919,9
0,28.615,5.495,0.171,0.323,13
1,76.894,8.42,0.074,0.611,9
0,29.566,7.245,0.236,0.422,10
0,27.671,6.274,0.209,0.3,16
0,25.1,4.217,0.144,0.355,13
0,23.35,4.316,0.167,0.324,12
0,33.219,8.001,0.217,0.285,15
1,245.166,21.936,0.058,0.619,9
